Year,Series,Education level,Institution type,Value
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,94
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,97
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,97
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,97
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Private Institutions,100
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,94
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,97
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,97
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,97
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Private Institutions,100
2015,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2016,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2017,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2018,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2019,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2020,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2021,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2022,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2023,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2024,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2025,Proportion of schools with access to single-sex basic sanitation,Primary,Public Institutions,100
2015,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2016,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2017,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2018,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2019,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2020,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2021,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2022,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2023,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2024,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2025,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Public Institutions,100
2015,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2016,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2017,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2018,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2019,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2020,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2021,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2022,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2023,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2024,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2025,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Public Institutions,100
2015,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2016,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2017,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2018,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2019,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2020,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2021,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2022,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2023,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,92
2024,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,93
2025,Proportion of schools with access to single-sex basic sanitation,Primary,Private Institutions,93
2015,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2016,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2017,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2018,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2019,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2020,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2021,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2022,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2023,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2024,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2025,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,Private Institutions,97
2015,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2016,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2017,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2018,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2019,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2020,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2021,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2022,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2023,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2024,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
2025,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,Private Institutions,97
