Year,Series,Sex,Migratory Status,Units,Value
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",575.12
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",1556.39
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",994.06
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",475.82
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",1408.53
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",832.5
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",321.01
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1256.47
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1066.09
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",546.84
2022,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",1474.79
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",845.11
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",454.84
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",1137.91
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",623.51
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",293.01
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",825.29
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",974.38
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",533.04
2023,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",1346.65
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1547.1
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1443.16
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1373.46
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1293.2
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",900.74
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",910.8
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",842.63
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",722.18
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",814.2
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",725.73
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",675.12
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",727.02
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",401.96
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",475.58
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",432.19
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",409.13
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",2023.98
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1920.11
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1847.07
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1664.98
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1237.88
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1208.94
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1133.42
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",937.23
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",1088.72
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",941.45
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",1045.88
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",1021.15
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",744.85
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",762.03
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",698.35
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",549.56
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",705.04
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",388.16
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",402.76
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",532.54
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",231.35
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",354.84
